name,category,count,first_mentioned_in,example_note
executive director access,services,1,February 20.pdf,Executive Director Access: Ms. Johnson noted that Mr. Simpson no longer has access to any accounts.
accounts,services,1,February 20.pdf,Executive Director Access: Ms. Johnson noted that Mr. Simpson no longer has access to any accounts.
maintenance technician,other,1,February 20.pdf,Maintenance: There has been a maintenance technician employee that was acquired from Glenarden Housing Authority.
storm drain,other,1,February 20.pdf,Storm drain management
code enforcement,services,1,February 20.pdf,Code enforcement inspection
emergency items,other,1,February 20.pdf,Re inspection of emergency items
drain,plumbing_fixtures,1,February 20.pdf,"lot plan approved by P.G. County, Storm drain management, Proposal for parking permit"
sewer,services,1,February 22.pdf,l concerning the WSSC beginning a major sewer project in north College Park called th
trash chute,small_equipment,1,February 23.pdf,Trash chute proposal
lobby,other,1,February 23.pdf,Continued work on the lobby
parking stickers,services,1,February 23.pdf,Parking concerns (parking stickers and enforcement)
handicapped parking enforcement,services,1,February 23.pdf,Parking concerns (parking stickers and enforcement)
pool table,small_equipment,1,February 23.pdf,update on pool table purchase
grant,services,1,February 26.pdf,"Received a grant for $3,150,000.00"
property assessment,services,1,February 26.pdf,Repositioning: Received the property assessment
plumbing fixtues,other,1,February 26.pdf,
handicap handles,accessibility_safety,1,January 20.pdf,discussed replacement of handicap handles
laundry,appliances,1,January 20.pdf,discussed funds for laundry
elevator replacement,big_equipment,1,January 24.pdf,RFP for the elevator replacement
building inspection,services,1,January 24.pdf,Building inspection on 12/18/23
reinspection,services,1,January 24.pdf,Reinspection scheduled for February
roof leak repair,services,1,January 24.pdf,Roof leak repair completed
elevator handle/ handicap handle,accessibility_safety,1,January 24.pdf,resident stuck in elevator
sprinkler system,hvac,1,January 24.pdf,"Passed the fire, security, and sprinkler alarm inspections"
alarm system,electrical,1,January 24.pdf,"Passed the fire, security, and sprinkler alarm inspections"
curbside produce services,other,1,January 24.pdf,Curbside fresh produce mobile services shop
faucets/sinks,plumbing_fixtures,1,January 24.pdf,None
handicapped bathroom unit,other,1,January 24.pdf,None
staff,other,1,January 25.pdf,the staff of Attick Towers
christmas,other,1,January 25.pdf,the Christmas festivities
new year,other,1,January 25.pdf,the New Year festivities
mayor,other,1,January 25.pdf,the mayor
council,other,1,January 25.pdf,the council meeting
article,other,1,January 25.pdf,the Hear and Now article
position,other,1,January 25.pdf,the position of Resident Commissioner
contract,services,1,January 25.pdf,the proposal submitted by GEMM COMM
energy use,services,1,January 25.pdf,optimizing their energy use
renewable power,services,1,January 25.pdf,generate renewable power
washer,big_equipment,1,July 20.pdf,People coming into the building washing clothes.
police officers,other,1,July 20.pdf,the trespasser had to be removed by police officers.
physical needs assessment projects,services,1,July 20.pdf,physical needs assessment projects
repairs of first floor,services,1,July 20.pdf,repairs of first floor
new board meeting entrance door,doors_windows,1,July 21.pdf,Residents liked the new Board meeting entrance door.
water bills,services,1,July 21.pdf,Reviewed water bills at Attick Towers for errors (none were discovered).
toilets,plumbing_fixtures,1,July 21.pdf,"Goal to replace toilets, shower heads, and rebuild faucets."
shower heads,plumbing_fixtures,1,July 21.pdf,"Goal to replace toilets, shower heads, and rebuild faucets."
salary of services coordinator,services,1,July 21.pdf,"Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs,"
training expenses,services,1,July 21.pdf,"Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs,"
administrative costs,services,1,July 21.pdf,"Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs,"
office equipment,small_equipment,1,July 21.pdf,"Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs,"
office space,appliances,1,July 21.pdf,"Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs,"
structural engineer review,other,1,July 21.pdf,"Suggested to reach the goal by doing a Geo Tech review, Structural engineer review, and Soil boring study for obsolescen"
geo tech review,other,1,July 21.pdf,"Suggested to reach the goal by doing a Geo Tech review, Structural engineer review, and Soil boring study for obsolescen"
soil boring study,other,1,July 21.pdf,"Suggested to reach the goal by doing a Geo Tech review, Structural engineer review, and Soil boring study for obsolescen"
shower,plumbing_fixtures,1,July 21.pdf,"water bill down 32% - Replace toilets, shower heads, and rebuild faucets Obsolescence"
asbestos,other,1,July 22.pdf,Repositioning: Tested for asbestos
mold,other,1,July 22.pdf,Repositioning: Tested for mold
structure,big_equipment,1,July 22.pdf,Repositioning: performed an evaluation on the structure
hvac unit,big_equipment,1,July 22.pdf,Property Updates: tree fell down on the HVAC unit
trees,other,1,July 22.pdf,Property Updates: several trees came down
piping,plumbing_fixtures,1,July 22.pdf,Repairing of piping on the first floor
landscape company,services,1,July 22.pdf,Landscape company took care of fallen trees
bus,small_equipment,1,July 22.pdf,Store bus trips
cleaners,services,1,March 20.pdf,Cleaners doing a great job
bully boards,other,1,March 20.pdf,Posting of flyers and information on bulletin boards
ants,other,1,March 20.pdf,Concerns about ants and pest control
property cameras,electrical,1,March 20.pdf,Property cameras have been updated to allow staff to watch the cameras via remote 24 hours a day
fire extinguisher,small_equipment,1,March 22.pdf,inspected
furniture,small_equipment,1,March 22.pdf,new in the lobby
building,big_equipment,1,March 22.pdf,new proposed building
residence,services,1,March 22.pdf,relocation of residents
smoking,services,1,March 23.pdf,Ms. Evans discussed problems with residents smoking in the front of the building
dog,other,1,March 23.pdf,"Ms. Evans discussed problems with residents smoking in the front of the building, and dog concerns."
security officer,services,1,March 23.pdf,"Ms. Perez discussed the live in courtesy officer, weekend security officer"
towing services,services,1,March 23.pdf,"Ms. Perez discussed the live in courtesy officer, weekend security officer, and the towing services."
courtesy officer,services,1,March 23.pdf,"Ms. Perez discussed the live in courtesy officer, weekend security officer, and the towing services."
community,other,1,March 24.pdf,Community challenge AARP grant
compost,other,1,March 24.pdf,Compost delivery scheduled for 4/3/24 and 4/10/24
cdbg grant,other,1,March 24.pdf,"various issues, i.e.: - CDBG grant"
capital fund,other,1,March 24.pdf,Capital fund meeting scheduled for April
hud,other,1,March 24.pdf,New official HUD representative
handicap,doors_windows,1,March 24.pdf,"Not mentioned, but Attick Towers might be handicap accessible."
camera system,small_equipment,1,March 25.pdf,"update of the camera system | security, camera system, and gates"
vending machines,big_equipment,1,March 25.pdf,vending machines
grants,services,1,March 25.pdf,emergency and safety grants
gates,doors_windows,1,March 25.pdf,"security, camera system, and gates"
condoms,other,1,March 25.pdf,condoms left around the building
vents,hvac,1,March special 23.pdf,
leak,other,1,March special 23.pdf,
plumbing leak,other,1,March special 23.pdf,
call center,services,1,May 20.pdf,call center
website,services,1,May 20.pdf,call center
leases,services,1,May 20.pdf,Leases
pasystem,appliance,1,May 20.pdf,Under old business
rfp,services,1,May 20.pdf,RFP
financial report,services,1,May 20.pdf,Review and Approval of Financial Report:
minutes,services,1,May 20.pdf,Decision & Approval of Minutes from the Regular Monthly meeting
executive director's report,services,1,May 20.pdf,Vili. Executive Directors Report:
funding,services,1,May 20.pdf,e Funding
ppe,other,1,May 20.pdf,"ec cleaning, staff and resident PPE,"
language translation service,services,1,May 20.pdf,"language translation service,"
chiller,big_equipment,1,May 22.pdf,problems with the chiller were repaired on Saturday
phone service,services,1,May 22.pdf,an issue with the phone service which will continue until further notice
asbestos report,other,1,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
molding report,other,1,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
mechanical report,other,1,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
engineering report,other,1,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
plumbing report,other,1,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
cleaner,services,1,May 23.pdf,resident recommended a specific type of cleaner for his tub.
commissioner training,services,1,May 23.pdf,"Ms. Keeler and Ms. Evans signed up for training for July 26 and 27, 2023"
bylaws,services,1,May 23.pdf,"Ms. Johnson requested the Board submit 3 dates for training by June 2, 2023"
cbdg grant,services,1,May 23.pdf,The HACCP has been approved to receive the grant of $2 million by the state of MD.
repositioning plan,services,1,May 23.pdf,HUD representative was Ms. Nicole Whitcliffe.
french doors,doors_windows,1,May 23.pdf,French doors installed in the lobby to allow easier access into the activity room by wheelchair.
activity room,other,1,May 23.pdf,French doors installed in the lobby to allow easier access into the activity room by wheelchair.
funds over $4000,services,1,May 23.pdf,"One invoice submitted over $4,000 was approved."
financial reports,services,1,May 23.pdf,"Approval of the financial reports of April 30, 2023"
minutes april 27,services,1,May 23.pdf,"Approval of the regular monthly meeting minutes from April 27, 2023"
fire system,services,1,May 25.pdf,Bond bill for the fire system
boiler system,hvac,1,May 25.pdf,$1.25MI/S50K/S1K grant for the boiler system
water treatment,services,1,November 20.pdf,water treatment (cooling tower)
employee benefits,appliances,1,November 20.pdf,employee benefits
insurance rates,other,1,November 20.pdf,back up information for insurance rates
house,housing_something,1,November 24.pdf,Hosting mandatory house cleaning workshop
cleaning workshop,services,1,November 24.pdf,Hosting mandatory house cleaning workshop
invoice,services,1,November 24.pdf,"approval of invoices over $4,000"
renovation,maintenance_issues,1,November 24.pdf,attic renovation
roach,maintenance_issues,1,November 24.pdf,roach infestation
equipment,big_equipment,1,November 24.pdf,purchase of items
generator,big_equipment,1,November 25.pdf,City grant (replace generator)
fire damage,other,1,November 25.pdf,"A resident discussed fire damage to the building, and roofing repairs."
lighting,electrical,1,Oct 20.pdf,ng for a HUD grant for surveillance and lighting Laundry machines: Converting the laundr
dryer,appliances,1,Oct 20.pdf,ry machines: Converting the laundry and dryer machines from coin to card acceptance C
store trips,other,1,October 22.pdf,Issues with store trips and other activities at Attick Towers
community room,other,1,October 22.pdf,Repairs on community room at Attick Towers
bait,services,1,September 21.pdf,"Ms. Johnson noted she will have Ms. Lynn's unit and the surrounding units above and next to hers, baited"
pest treatment,services,1,September 21.pdf,"Ms. Johnson noted she will have Ms. Lynn's unit and the surrounding units above and next to hers, baited and treated"
vacuum,small_equipment,1,September 21.pdf,Resident Cleaner
ventilation,hvac,1,September 21.pdf,Leak in Community Room
lock,doors_windows,1,September 21.pdf,er Update (CDBG) Community Development Block Grant Vending Machines Free HUD Trainin
cargo elevator,big_equipment,1,September 25.pdf,Cargo elevator floor has been laid.
f & b laundry equipment,small_equipment,1,September 25.pdf,F & B laundry equipment.
trash dumpster,big_equipment,1,September 25.pdf,Dumpster replacement (Trash United).
hand railing,accessibility_safety,1,September 25.pdf,Ms. Bay discussed visitors and hand railing.
elevator doors,electrical,1,September 25.pdf,Painting of elevator doors
surveillance,services,1,September 25.pdf,After hours of surveillance by local police.
floor captains,other,1,September 25.pdf,Reinstated floor captains.
wildlife control,services,1,September 25.pdf,Wild life control (racoons)
cleaning,services,1,September 25.pdf,Building cleanliness has improved.
